菜名,最低价,平均价,最高价,规格,单位,发布日期
小葱,3.0,3.65,4.3,,斤,2024-11-09 00:00:00

蒜苗,2.5,4.25,6.0,蒜薹,斤,2024-11-09 00:00:00

蒜黄,4.5,4.75,5.0,,斤,2024-11-09 00:00:00

青蒜,4.5,4.65,4.8,,斤,2024-11-09 00:00:00

平菇,2.0,2.5,3.0,,斤,2024-11-09 00:00:00

香菇,3.5,5.25,7.0,,斤,2024-11-09 00:00:00

白玉菇,3.6,3.85,4.1,,斤,2024-11-09 00:00:00

口蘑,7.5,7.65,7.8,,斤,2024-11-09 00:00:00

杏鲍菇,3.2,3.5,3.8,,斤,2024-11-09 00:00:00

金针菇,2.2,2.8,3.4,,斤,2024-11-09 00:00:00

箱装菠萝,2.0,2.15,2.3,,斤,2024-11-09 00:00:00

国产凤梨,2.3,2.45,2.6,,斤,2024-11-09 00:00:00

圣女果,6.0,6.25,6.5,千禧,斤,2024-11-09 00:00:00

百香果,7.0,8.0,9.0,,斤,2024-11-09 00:00:00

黑枣,10.0,11.5,13.0,,斤,2024-11-09 00:00:00

冬枣,3.0,4.75,6.5,,斤,2024-11-09 00:00:00

人参果,4.5,6.25,8.0,,斤,2024-11-09 00:00:00

火龙果,3.6,5.3,7.0,红,斤,2024-11-09 00:00:00

火龙果,4.0,5.0,6.0,白,斤,2024-11-09 00:00:00

板栗,3.0,3.5,4.0,,斤,2024-11-09 00:00:00

油栗,4.0,5.75,7.5,,斤,2024-11-09 00:00:00

木瓜,6.2,6.6,7.0,,斤,2024-11-09 00:00:00

柿饼,7.0,9.5,12.0,,斤,2024-11-09 00:00:00

磨盘柿子,2.0,2.2,2.4,,斤,2024-11-09 00:00:00

脆皮柿子,1.3,1.55,1.8,,斤,2024-11-09 00:00:00

甘蔗,1.8,2.2,2.6,,斤,2024-11-09 00:00:00

桑葚,6.0,7.5,9.0,,斤,2024-11-09 00:00:00

柠檬,3.0,4.0,5.0,,斤,2024-11-09 00:00:00

石榴,3.0,3.75,4.5,,斤,2024-11-09 00:00:00

小金星山楂,4.5,5.0,5.5,,斤,2024-11-09 00:00:00

山楂,3.0,3.5,4.0,,斤,2024-11-09 00:00:00

姑娘果（灯笼果）,10.0,15.0,20.0,,斤,2024-11-09 00:00:00

鸡心果（沙果）,3.0,4.5,6.0,,斤,2024-11-09 00:00:00

鸭梨,2.0,2.1,2.2,,斤,2024-11-09 00:00:00

雪花梨,1.8,1.95,2.1,,斤,2024-11-09 00:00:00

皇冠梨,2.5,2.65,2.8,纸箱,斤,2024-11-09 00:00:00

南果梨,2.0,4.0,6.0,,斤,2024-11-09 00:00:00

丰水梨,3.3,3.5,3.7,,斤,2024-11-09 00:00:00

广梨,2.5,3.0,3.5,,斤,2024-11-09 00:00:00

酥梨,1.6,1.95,2.3,,斤,2024-11-09 00:00:00

库尔勒香梨,2.5,3.5,4.5,,斤,2024-11-09 00:00:00

红香酥梨,2.0,2.25,2.5,,斤,2024-11-09 00:00:00

红啤梨,3.5,4.0,4.5,,斤,2024-11-09 00:00:00

玉露香梨,2.5,4.25,6.0,,斤,2024-11-09 00:00:00

京白梨,2.0,2.5,3.0,,斤,2024-11-09 00:00:00

贵妃梨,1.6,1.75,1.9,,斤,2024-11-09 00:00:00

秋月梨,2.5,3.5,4.5,,斤,2024-11-09 00:00:00

蜜桔,2.3,2.5,2.7,,斤,2024-11-09 00:00:00

小叶桔,2.5,2.65,2.8,,斤,2024-11-09 00:00:00

丑橘,3.0,4.0,5.0,,斤,2024-11-09 00:00:00

爱媛,4.0,4.5,5.0,,斤,2024-11-09 00:00:00

赣南脐橙,3.0,3.5,4.0,,斤,2024-11-09 00:00:00

金桔,10.0,11.0,12.0,,斤,2024-11-09 00:00:00

夏橙,2.8,3.5,4.2,,斤,2024-11-09 00:00:00

金秋沙糖桔,8.0,8.5,9.0,,斤,2024-11-09 00:00:00

红心蜜柚,2.0,2.6,3.2,,斤,2024-11-09 00:00:00

蜜柚,1.8,2.4,3.0,,斤,2024-11-09 00:00:00

葡萄柚,2.2,2.75,3.3,,斤,2024-11-09 00:00:00

冬桃,1.8,2.65,3.5,,斤,2024-11-09 00:00:00

秋红（晚桃）,4.0,5.0,6.0,,斤,2024-11-09 00:00:00

猕猴桃（翠香）,5.2,6.1,7.0,,斤,2024-11-09 00:00:00

猕猴桃（徐香）,2.5,3.5,4.5,,斤,2024-11-09 00:00:00

猕猴桃（红阳）,8.0,9.5,11.0,,斤,2024-11-09 00:00:00

猕猴桃（亚特),3.0,3.5,4.0,,斤,2024-11-09 00:00:00

吊干杏,11.0,12.0,13.0,,斤,2024-11-09 00:00:00

李子,2.0,3.25,4.5,,斤,2024-11-09 00:00:00

西梅,7.5,8.75,10.0,,斤,2024-11-09 00:00:00

无籽小号-大号,1.7,1.75,1.8,,斤,2024-11-09 00:00:00

麒麟,2.2,2.4,2.6,甜蜜蜜,斤,2024-11-09 00:00:00

黑美人,2.0,2.1,2.2,,斤,2024-11-09 00:00:00

特小凤,2.0,2.25,2.5,,斤,2024-11-09 00:00:00

L600吊秧瓜,2.8,2.9,3.0,,斤,2024-11-09 00:00:00

甜王,1.1,1.45,1.8,,斤,2024-11-09 00:00:00

国产香蕉,3.2,3.35,3.5,,斤,2024-11-09 00:00:00

进口香蕉,4.0,4.5,5.0,菲律宾、老挝,斤,2024-11-09 00:00:00

泰国香蕉,12.0,13.0,14.0,帝王蕉,斤,2024-11-09 00:00:00

晓蜜25号,2.4,2.55,2.7,,斤,2024-11-09 00:00:00

西州蜜,1.6,1.9,2.2,,斤,2024-11-09 00:00:00

玉菇,2.5,2.6,2.7,奶香蜜,斤,2024-11-09 00:00:00

网纹,4.5,5.25,6.0,,斤,2024-11-09 00:00:00

羊角蜜,4.0,4.75,5.5,六一,斤,2024-11-09 00:00:00

花蕾甜瓜,4.5,5.0,5.5,,斤,2024-11-09 00:00:00

绿宝甜瓜,4.0,4.75,5.5,,斤,2024-11-09 00:00:00

博阳,4.5,4.75,5.0,系列,斤,2024-11-09 00:00:00

久红瑞,2.6,2.7,2.8,,斤,2024-11-09 00:00:00

富士,2.0,3.15,4.3,纸袋Φ70-84,斤,2024-11-09 00:00:00

富士,1.8,2.2,2.6,纸+膜袋,斤,2024-11-09 00:00:00

富士,4.5,5.0,5.5,纸袋Φ85以上,斤,2024-11-09 00:00:00

黄元帅,2.5,3.0,3.5,,斤,2024-11-09 00:00:00

花牛,2.0,3.0,4.0,,斤,2024-11-09 00:00:00

阿克苏,3.7,4.15,4.6,冰糖心,斤,2024-11-09 00:00:00

国光,2.4,2.6,2.8,,斤,2024-11-09 00:00:00

寒富苹果,2.0,2.2,2.4,,斤,2024-11-09 00:00:00

王林,2.3,2.4,2.5,,斤,2024-11-09 00:00:00

阳光玫瑰,5.0,7.0,9.0,,斤,2024-11-09 00:00:00

红提葡萄,6.0,6.75,7.5,,斤,2024-11-09 00:00:00

玫瑰香,6.0,7.0,8.0,,斤,2024-11-09 00:00:00

克伦生,7.0,7.5,8.0,,斤,2024-11-09 00:00:00

夏黑葡萄,6.0,7.5,9.0,,斤,2024-11-09 00:00:00

