序号,书名,链接,作者,评分,评价人数,简介
12,白夜行,[日] 东野圭吾 / 刘姿君 / 南海出版公司 / 2013-1-1 / 39.50元,9.2,488526,一宗离奇命案牵出跨度近20年步步惊心的故事,https://book.douban.com/subject/10554308/
13,小王子,[法] 圣埃克苏佩里 / 马振骋 / 人民文学出版社 / 2003-8 / 22.00元,9.1,766705,献给长成了大人的孩子们,https://book.douban.com/subject/1084336/
14,安徒生童话故事集,（丹麦）安徒生 / 叶君健 / 人民文学出版社 / 1997-08 / 25.00元,9.3,135677,为了争取未来的一代,https://book.douban.com/subject/1046209/
15,呐喊,鲁迅 / 人民文学出版社 / 1973-3 / 0.36元,9.2,164713,新文学的第一声呐喊,https://book.douban.com/subject/1449351/
16,邓小平时代,【美】傅高义 (Ezra.F.Vogel) / 冯克利 / 生活·读书·新知三联书店 / 2013-1-18 / 88.00元,9.3,74860,个人命运背后的历史变局,https://book.douban.com/subject/20424526/
17,天龙八部,金庸 / 生活·读书·新知三联书店 / 1994-5 / 96.00元,9.2,134945,有情皆孽，无人不冤,https://book.douban.com/subject/1255625/
18,撒哈拉的故事,三毛 / 哈尔滨出版社 / 2003-8 / 15.80元,9.2,180620,游荡的自由灵魂,https://book.douban.com/subject/1060068/
19,悉达多,[德] 赫尔曼·黑塞 / 姜乙 / 天津人民出版社 / 2017-1 / 32.00元,9.2,125409,有一种东西不能遵循从众原则，那就是——人的良心,https://book.douban.com/subject/26980487/
20,失踪的孩子,[意] 埃莱娜·费兰特 / 陈英 / 人民文学出版社 / 2018-7 / 62.00元,9.2,86364,我的整个生命，只是一场为了提升社会地位的低俗斗争。,https://book.douban.com/subject/30172069/
21,明朝那些事儿（1-9）,当年明月 / 中国海关出版社 / 2009-4 / 358.20元,9.2,181804,不拘一格的历史书写,https://book.douban.com/subject/3674537/
22,新名字的故事,[意] 埃莱娜·费兰特 / 陈英 / 人民文学出版社 / 2017-4 / 59.00元,9.2,97025,探索青年时代的激情、困惑、挣扎、背叛和失去,https://book.douban.com/subject/26986954/
23,野草,鲁迅 / 人民文学出版社 / 1973-3 / 0.20元,9.5,49436,我以这一丛野草，在明与暗，生与死，过去与未来之际，献于友与仇，人与兽，爱者与不爱者之前作证。,https://book.douban.com/subject/1915958/
24,中国历代政治得失,钱穆 / 生活·读书·新知三联书店 / 2001 / 12.00元,9.2,75665,一部简明的“中国政治制度史”,https://book.douban.com/subject/1003479/
25,沉默的大多数,王小波 / 中国青年出版社 / 1997-10 / 27.00元,9.1,154309,沉默是沉默者的通行证,https://book.douban.com/subject/1054685/
26,卡拉马佐夫兄弟,陀思妥耶夫斯基 (Ф.М.Достоевский) / 荣如德 / 上海译文出版社 / 2015-2-1 / CNY 78.00,9.6,38275,人生在世，永远也不该演戏作假,https://book.douban.com/subject/25887924/
27,白鹿原,陈忠实 / 人民文学出版社 / 2012-9 / 39.00元,9.2,112725,一轴关于我们民族灵魂的现实主义画卷,https://book.douban.com/subject/10564071/
28,乡土中国,费孝通 / 上海人民出版社 / 2006-04-01 / 38.00,9.2,94904,中国乡土社会传统文化和社会结构理论研究代表作,https://book.douban.com/subject/1795079/
29,人类简史,[以色列] 尤瓦尔·赫拉利 / 林俊宏 / 中信出版社 / 2014-11 / 68.00元,9.1,203665,跟着人类一同走过十万年,https://book.douban.com/subject/25985021/
30,彷徨,鲁迅 / 人民文学出版社 / 1973-3 / 0.37元,9.3,67872,路漫漫其修远兮，吾将上下而求索,https://book.douban.com/subject/1449348/
31,罗杰疑案,[英] 阿加莎·克里斯蒂 / 常禾 / 新星出版社 / 2013-3 / 28.00元,9.2,80159,这是你的罪孽与福祉,https://book.douban.com/subject/21371175/
32,围城,钱锺书 / 人民文学出版社 / 1991-2 / 19.00,9.0,451133,幽默的语言和对生活深刻的观察,https://book.douban.com/subject/1008145/
