序号,书名,链接,作者,评分,评价人数,简介
149,水浒传（全二册）,[明] 施耐庵 / 人民文学出版社 / 1997-1 / 50.60元,8.7,79966,替天行道,https://book.douban.com/subject/1008357/
150,孩子你慢慢来,龙应台 / 生活·读书·新知三联书店 / 2009-12-1 / 28.00元,8.7,80685,我们现在怎样做母亲,https://book.douban.com/subject/4207781/
151,一千零一夜,纳训 / 人民文学出版社 / 2003-01 / 22.00,8.8,60286,阿拉伯地区的古代民间传说,https://book.douban.com/subject/1035848/
152,九州·缥缈录,江南 / 新世界出版社 / 2005-6 / 20.00元,8.8,32218,乱世的英雄史诗,https://book.douban.com/subject/1321017/
153,雨季不再来,三毛 / 北京十月文艺出版社 / 2007-7 / 28.00元,8.8,56250,三毛少女时代的成长感受,https://book.douban.com/subject/2136140/
154,雷雨,曹禺 / 人民文学出版社 / 1999-05 / 9.20,8.7,80709,一幕人生大悲剧，在一个雷雨夜爆发,https://book.douban.com/subject/1013416/
155,送你一颗子弹,刘瑜 / 上海三联书店 / 2010-1 / 25.00元,8.6,144636,在这本书里，被“审视”的东西杂七杂八,https://book.douban.com/subject/4238362/
156,最好的我们,八月长安 / 湖南文艺出版社 / 2013-8-5 / 55,8.7,73560,耿耿余淮,https://book.douban.com/subject/24754316/
157,浮生六记,（清）沈复 / 人民文学出版社 / 1999-1 / 38,8.7,72213,苟不记之笔墨，未免有辜彼苍之厚,https://book.douban.com/subject/1088581/
158,银河帝国：基地七部曲,[美] 艾萨克·阿西莫夫 / 叶李华 / 江苏凤凰文艺出版社 / 2015-10-1 / 328.00元,9.5,16825,阿西莫夫经典科幻小说,https://book.douban.com/subject/26389895/
159,渴望生活,[美] 欧文·斯通 / 常涛 / 北京十月文艺出版社 / 2008-4 / 29.80元,9.2,11998,梵高悲惨而成就辉煌的人生,https://book.douban.com/subject/3054821/
160,罗生门,[日] 芥川龙之介 / 林少华 / 上海译文出版社 / 2008-7 / 12.00元,8.7,72140,人生，远比地狱更像地狱,https://book.douban.com/subject/3136271/
161,庄子,孙通海 译注 / 孙通海  译注 / 中华书局 / 2007-04 / 20.00元,9.4,12453,野马也，尘埃也，生物之以息相吹也,https://book.douban.com/subject/2046236/
162,骆驼祥子,老舍 / 人民文学出版社 / 1962-10-1 / 12.00元,8.6,212838,旧中国老北京贫苦市民的典型命运,https://book.douban.com/subject/1043815/
163,跨越边界的社区（修订版）,项飙 / 生活·读书·新知三联书店 / 2018-3 / 68.00元,9.5,10311,中国人，你为什么不生气,https://book.douban.com/subject/30116399/
164,包法利夫人,福楼拜 / 李健吾 / 人民文学出版社 / 2003-1-1 / CNY 28.00,9.1,25356,一场穿越银河的冒险,https://book.douban.com/subject/25897678/
165,会饮篇,[古希腊] 柏拉图 / 王太庆 / 商务印书馆 / 2013-1 / 12.00元,9.3,12306,,https://book.douban.com/subject/21570668/
166,你好，旧时光（上 下）,八月长安 / 新世界出版社 / 2009-12 / 39.80元,8.7,50089,原作名切题,https://book.douban.com/subject/4166819/
167,论语,刘胜利 / 中华书局 / 2006-12 / 9.80元,9.1,24761,仁远乎哉？我欲仁，斯仁至矣,https://book.douban.com/subject/1964774/
168,现代艺术150年,[英] 威尔·贡培兹 / 王烁 / 广西师范大学出版社 / 2017-3 / 65.00元,9.1,15342,特德·姜科幻小说集,https://book.douban.com/subject/26854318/
169,坟,鲁迅 / 人民文学出版社 / 2006-12 / 16.00元,9.6,12680,伴随着惩罚的人性化，自由反而日益丧失了,https://book.douban.com/subject/1974029/
170,毛姆短篇小说精选集,[英] 威廉·萨默塞特·毛姆 / 冯亦代 / 译林出版社 / 2012-11 / 36.00元,9.1,13030,在各种光怪陆离的场景中，迷失的人性引发了一连串的悲剧,https://book.douban.com/subject/10774752/
171,二手时间,[白俄] S. A. 阿列克谢耶维奇 / 吕宁思 / 中信出版社 / 2016-1 / 55.00元,8.9,26126,用最为细小的马赛克拼出了一幅完整的后苏联时代图景,https://book.douban.com/subject/26704403/
172,金锁记,张爱玲 / 哈尔滨出版社 / 2005-6 / 13.5元,8.6,64226,一个小商人家庭出身的女子曹七巧的心灵变迁历程,https://book.douban.com/subject/3017857/
173,挽救计划,[美] 安迪·威尔 / 耿辉 / 译林出版社 / 2021-9 / 68.00,9.1,13194,纳粹法西斯对人心灵的折磨及摧残,https://book.douban.com/subject/35494160/
174,顾城的诗,顾城 / 人民文学出版社 / 1998-12 / 20.00,8.8,26958,火焰是我们诗歌唯一的读者,https://book.douban.com/subject/1033825/
175,时间的秩序,[意] 卡洛·罗韦利 / 杨光 / 湖南科学技术出版社 / 2019-6 / 56.00元,8.9,22982,跟火星来一场不是你死就是我活的过家家游戏,https://book.douban.com/subject/33424487/
176,解忧杂货店,[日] 东野圭吾 / 李盈春 / 南海出版公司 / 2014-5 / 39.50元,8.5,765689,现代人内心流失的东西，这家杂货店能帮你找回,https://book.douban.com/subject/25862578/
177,命运,蔡崇达 / 浙江文艺出版社 / 2022-9-5 / 59.80元,8.9,30310,人类社会的命运,https://book.douban.com/subject/36084340/
178,看不见的女性,卡罗琳·克里亚多·佩雷斯 / 詹涓 / 新星出版社 / 2022-8 / 69.00元,9.2,16913,在专为男性设计的世界该如何生存和改变？,https://book.douban.com/subject/35942057/
179,哈姆莱特,[英] 莎士比亚 / 朱生豪 / 人民文学出版社 / 2001-1 / 7.00元,8.7,51510,生存还是毁灭，这是一个值得思考的问题,https://book.douban.com/subject/1006197/
180,上学记,何兆武 口述 / 生活·读书·新知三联书店 / 2006-8 / 19.80元,8.9,14255,20世纪中国知识分子的心灵史,https://book.douban.com/subject/1859140/
181,奥斯维辛,[英] 劳伦斯·里斯 / 刘爽 / 广西师范大学出版社 / 2016-9 / 79.00元,9.5,10378,美国政治法律制度的基本原理和操作细节,https://book.douban.com/subject/26861418/
