排名,书名,简介,作者,评分,评分人数,链接
152,经济学原理（上下）,经济学家们的世界观,[美] 曼昆 / 梁小民 / 机械工业出版社 / 2003-8 / 88.00元,9.1,22753人评价,https://book.douban.com/subject/1028842/
153,阿勒泰的角落,白雪和阳光，青草和白桦林,李娟 / 万卷出版公司 / 2010-6 / 25.00元,9.1,22571人评价,https://book.douban.com/subject/4881850/
154,安娜·卡列尼娜,无简介,[俄] 列夫·托尔斯泰 / 草婴 / 上海文艺出版社 / 2007-8 / 37.00元,9.2,31549人评价,https://book.douban.com/subject/2253380/
155,强风吹拂,明明这么痛苦，这么难过，为什么就是不能放弃跑步？,三浦紫苑 / 林佩瑾 / 广西师范大学出版社 / 2015-1-1 / 39.00元,9.0,29822人评价,https://book.douban.com/subject/26210487/
156,鹿川有许多粪,无简介,李沧东 / 春喜 / 武汉大学出版社 / 2021-8 / 58.00元,8.9,36498人评价,https://book.douban.com/subject/35517022/
157,史蒂夫·乔布斯传,完美主义者的最高形态,[美] 沃尔特·艾萨克森 / 管延圻 / 中信出版社 / 2011-10-24 / 68.00元,8.8,62351人评价,https://book.douban.com/subject/6798611/
158,万水千山走遍,从遥远的撒哈拉到敦煌戈壁,三毛 / 哈尔滨出版社 / 2003-08 / 13.80,8.9,46974人评价,https://book.douban.com/subject/1036490/
159,苏菲的世界,哲学启蒙书,[挪] 乔斯坦·贾德 / 萧宝森 / 作家出版社 / 2007-10 / 26.00元,8.8,60261人评价,https://book.douban.com/subject/2284311/
160,一个陌生女人的来信,暗恋的极致,[奥] 斯蒂芬·茨威格 / 张玉书 / 上海译文出版社 / 2007-7 / 20.00元,8.7,149461人评价,https://book.douban.com/subject/2154960/
161,草房子,男孩桑桑刻骨铭心、终身难忘的六年小学生活,曹文轩 / 江苏少年儿童出版社 / 2009-6 / 18.00元,9.0,56039人评价,https://book.douban.com/subject/1052990/
162,我不知道该说什么，关于死亡还是爱情,真实记录切尔诺贝利核灾难事件,[白俄] S·A·阿列克谢耶维奇 / 方祖芳 / 花城出版社 / 2014-6-15 / 34.80元,9.2,20739人评价,https://book.douban.com/subject/25884880/
163,全球通史(上),无简介,[美]斯塔夫里阿诺斯 / 吴象婴 / 北京大学出版社 / 2006-1-10 / 42.00,9.2,19720人评价,https://book.douban.com/subject/1922216/
164,爱的艺术,谦恭地、勇敢地、真诚地和有纪律地爱他人,[美] 艾·弗洛姆 / 李健鸣 / 上海译文出版社 / 2008-4 / 15.00元,8.8,52000人评价,https://book.douban.com/subject/3026879/
165,德米安,少年辛克莱寻找通向自身之路的艰辛历程,[德] 赫尔曼·黑塞 / 丁君君 / 上海人民出版社 / 2009-3 / 25.00元,8.9,40180人评价,https://book.douban.com/subject/3578470/
166,温柔的夜,三毛在加纳利群岛的生活,三毛 / 北京十月文艺出版社 / 2007-5 / 28.00元,9.1,24277人评价,https://book.douban.com/subject/2068249/
167,球状闪电,量子之外，没有真相,刘慈欣 / 四川科学技术出版社 / 2005-6 / 22.00元,8.7,91045人评价,https://book.douban.com/subject/1192090/
168,亮剑,面对强大的对手，明知不敌，也要毅然亮剑,都梁 / 解放军文艺出版社 / 2005-3 / 28.00元,9.0,32094人评价,https://book.douban.com/subject/1088022/
169,半生缘,无简介,张爱玲 / 北京十月文艺出版社 / 2012-6-1 / 29.60元,9.1,34143人评价,https://book.douban.com/subject/10757938/
170,冰与火之歌,乔治·R·R·马丁史诗奇幻小说,[美]乔治·R.R.马丁 / 谭光磊 / 重庆出版社 / 2013-10-1 / 330.00元,9.5,19694人评价,https://book.douban.com/subject/25826936/
171,不能承受的生命之轻,无简介,米兰·昆德拉 / 许钧 / 上海译文出版社 / 2010-8 / 29.00元,8.8,48413人评价,https://book.douban.com/subject/4920007/
172,古文观止,收录自先秦至明末的散文二百二十二篇,吴楚材 / 中华书局 / 1987-1-1 / 21.00元,9.1,19526人评价,https://book.douban.com/subject/1014561/
173,恶意,无简介,[日] 东野圭吾 / 娄美莲 / 南海出版公司 / 2016-11 / 39.50元,8.7,139556人评价,https://book.douban.com/subject/26877752/
174,翦商,无简介,李硕 / 广西师范大学出版社 / 2022-10 / 99.00元,8.9,31901人评价,https://book.douban.com/subject/36096304/
175,霸王别姬,人间，只是抹去了脂粉的脸,李碧华 / 人民文学出版社 / 1999-1 / 10.20元,9.1,23075人评价,https://book.douban.com/subject/1088711/
176,天朝的崩溃,无简介,茅海建 / 生活·读书·新知三联书店 / 2014-10 / 59.00元,9.4,15221人评价,https://book.douban.com/subject/25935941/
177,明亮的夜晚,无简介,[韩]崔恩荣 / 叶蕾 / 台海出版社 / 2023-8 / 52,9.0,33847人评价,https://book.douban.com/subject/36457094/
178,生死疲劳,无简介,莫言 / 浙江文艺出版社 / 2022-1 / 69.90,9.0,47664人评价,https://book.douban.com/subject/35587028/
179,我的阿勒泰,描写疆北阿勒泰地区生活和风情的原生态散文集,李娟 / 云南人民出版社 / 2010-7 / 25.00元,8.9,30945人评价,https://book.douban.com/subject/4884218/
180,东晋门阀政治,无简介,田余庆 / 北京大学出版社 / 2012-5 / 49.00元,9.5,14571人评价,https://book.douban.com/subject/10758290/
181,大明王朝1566,无简介,刘和平 / 花城出版社 / 2016-7 / 88.00元,9.5,14046人评价,https://book.douban.com/subject/26925171/
182,麦琪的礼物,日常的奇迹,[美] 欧·亨利 / 张经浩 / 上海社会科学院出版社 / 2003-7 / 25.00元,8.7,77090人评价,https://book.douban.com/subject/1051193/
183,我也有一个梦想,在法治国家里，民众怎样运用法律,林达 / 生活·读书·新知三联书店 / 2004-08 / 25.00元,9.0,16365人评价,https://book.douban.com/subject/1014825/
184,社会心理学,人们是如何思索、影响他人并与他人建立联系的,[美] 戴维·迈尔斯 / 张智勇 / 人民邮电出版社 / 2006-1 / 68.00元,9.0,27652人评价,https://book.douban.com/subject/1476651/
185,李光耀观天下,无简介,李光耀 / 北京大学出版社 / 2015-6 / 58.00元,9.2,15490人评价,https://book.douban.com/subject/26413154/
186,倾城之恋,“一对平凡的夫妻”之间的“一点真心”,张爱玲 / 北京十月文艺出版社 / 2006-12 / 29.80元,8.7,51723人评价,https://book.douban.com/subject/1985223/
187,激荡三十年（上）,这是一个最好的时代，也是一个最坏的时代,吴晓波 / 中信出版社 浙江人民出版社 / 2007-1 / 35.00,8.8,32717人评价,https://book.douban.com/subject/1970428/
188,一桩事先张扬的凶杀案,我如此急切地想要讲述这桩案件，也许是它最终确定了我的作家生涯,[哥伦比亚] 加西亚·马尔克斯 / 魏然 / 南海出版公司 / 2013-6 / 25.00元,8.7,55615人评价,https://book.douban.com/subject/24382569/
189,亲密关系（第6版）,无简介,[美] 罗兰·米勒 (Rowland S. Miller) / 王伟平 译 / 人民邮电出版社 / 2015-6 / 138.00元,9.2,28239人评价,https://book.douban.com/subject/26585065/
190,天生有罪,无简介,[南非] 特雷弗·诺亚 / 董帅 / 北京联合出版公司 / 2018-2-1 / 58.00,9.0,21961人评价,https://book.douban.com/subject/30125030/
191,倚天屠龙记,不识张郎是张郎,金庸 / 生活·读书·新知三联书店 / 1999-04 / 47.00,8.7,63374人评价,https://book.douban.com/subject/1070851/
192,雕刻时光,无简介,[苏] 安德烈·塔可夫斯基 / 张晓东 / 南海出版公司 / 2016-5 / 45.00元,9.5,9887人评价,https://book.douban.com/subject/26435510/
193,理想国,人类历史上最早的乌托邦,[古希腊] 柏拉图 / 郭斌和 / 商务印书馆 / 1986-8 / 28.00元,8.8,38618人评价,https://book.douban.com/subject/1004821/
194,万物有灵且美,活泼的生命完全无须借助魔法，便能对我们述说至美至真的故事,[英] 吉米·哈利 / 种衍伦 / 中国城市出版社 / 2010-1 / 28.80,8.9,23678人评价,https://book.douban.com/subject/4187411/
195,海风中失落的血色馈赠,男女之间、父母与子女之间紧密的纽带和难以逾越的鸿沟,[加拿大] 阿利斯泰尔·麦克劳德 / 陈以侃 / 上海文艺出版社 / 2015-6-1 / CNY 20.00,9.0,21565人评价,https://book.douban.com/subject/26357614/
196,孙子兵法,我国最古老最杰出的一部兵书,孙武 / 郭化若 / 上海古籍出版社 / 2006-7 / 20.00元,9.4,14172人评价,https://book.douban.com/subject/1949420/
197,情书,一场同名同姓的误会，两段可贵的爱情,[日] 岩井俊二 / 穆晓芳 / 天津人民出版社 / 2004-7 / 18.00元,8.6,109000人评价,https://book.douban.com/subject/1080370/
198,一千零一夜,阿拉伯地区的古代民间传说,纳训 / 人民文学出版社 / 2003-01 / 22.00,8.8,60423人评价,https://book.douban.com/subject/1035848/
199,尼罗河上的惨案,阿加莎·克里斯蒂代表作,[英] 阿加莎·克里斯蒂 / 宫英海 / 人民文学出版社 / 2006-5 / 22.00元,8.7,51294人评价,https://book.douban.com/subject/1818347/
200,荒原狼,“超现实主义”风格作品，德国的《尤利西斯》,[德]赫尔曼·黑塞 / 赵登荣 / 上海译文出版社 / 2008-7 / 13.00,9.0,24441人评价,https://book.douban.com/subject/3131626/
201,在细雨中呼喊,无简介,余华 / 作家出版社 / 2012-11-1 / 25.00元,8.8,79512人评价,https://book.douban.com/subject/20421947/
202,水浒传（全二册）,替天行道,[明] 施耐庵 / 人民文学出版社 / 1997-1 / 50.60元,8.7,80215人评价,https://book.douban.com/subject/1008357/
203,当呼吸化为空气,你在死亡中探究生命的意义，你见证生前的呼吸化作死后的空气,[美] 保罗·卡拉尼什 / 何雨珈 / 浙江文艺出版社 / 2016-12 / 48.00元,8.9,30611人评价,https://book.douban.com/subject/26896859/
204,孩子你慢慢来,我们现在怎样做母亲,龙应台 / 生活·读书·新知三联书店 / 2009-12-1 / 28.00元,8.7,80812人评价,https://book.douban.com/subject/4207781/
205,银河帝国：基地七部曲,阿西莫夫经典科幻小说,[美] 艾萨克·阿西莫夫 / 叶李华 / 江苏凤凰文艺出版社 / 2015-10-1 / 328.00元,9.5,16946人评价,https://book.douban.com/subject/26389895/
206,雷雨,一幕人生大悲剧，在一个雷雨夜爆发,曹禺 / 人民文学出版社 / 1999-05 / 9.20,8.7,80876人评价,https://book.douban.com/subject/1013416/
207,送你一颗子弹,在这本书里，被“审视”的东西杂七杂八,刘瑜 / 上海三联书店 / 2010-1 / 25.00元,8.6,144763人评价,https://book.douban.com/subject/4238362/
208,骆驼祥子,旧中国老北京贫苦市民的典型命运,老舍 / 人民文学出版社 / 1962-10-1 / 12.00元,8.6,213462人评价,https://book.douban.com/subject/1043815/
209,帷幕,无简介,[英]阿加莎·克里斯蒂 / 李杨 / 新星出版社 / 2015-2 / 26.00,9.1,17748人评价,https://book.douban.com/subject/26292535/
210,九州·缥缈录,乱世的英雄史诗,江南 / 新世界出版社 / 2005-6 / 20.00元,8.8,32267人评价,https://book.douban.com/subject/1321017/
211,足利女童连续失踪事件,无简介,[日] 清水洁 / 曾玉婷 / 文汇出版社 / 2022-7 / 49.00元,9.0,25062人评价,https://book.douban.com/subject/35776315/
212,罗生门,人生，远比地狱更像地狱,[日] 芥川龙之介 / 林少华 / 上海译文出版社 / 2008-7 / 12.00元,8.7,72371人评价,https://book.douban.com/subject/3136271/
213,渴望生活,梵高悲惨而成就辉煌的人生,[美] 欧文·斯通 / 常涛 / 北京十月文艺出版社 / 2008-4 / 29.80元,9.1,12021人评价,https://book.douban.com/subject/3054821/
214,浮生六记,苟不记之笔墨，未免有辜彼苍之厚,（清）沈复 / 人民文学出版社 / 1999-1 / 38,8.7,72403人评价,https://book.douban.com/subject/1088581/
215,野火集,中国人，你为什么不生气,龙应台 / 文汇出版社 / 2005-8 / 25.00元,8.8,35511人评价,https://book.douban.com/subject/1426971/
216,庄子,野马也，尘埃也，生物之以息相吹也,孙通海 译注 / 孙通海  译注 / 中华书局 / 2007-04 / 20.00元,9.4,12512人评价,https://book.douban.com/subject/2046236/
217,雨季不再来,三毛少女时代的成长感受,三毛 / 北京十月文艺出版社 / 2007-7 / 28.00元,8.7,56396人评价,https://book.douban.com/subject/2136140/
218,不存在的骑士,无简介,[意] 伊塔洛·卡尔维诺 / 吴正仪 / 译林出版社 / 2012-4 / 22.00元,8.9,26755人评价,https://book.douban.com/subject/6789551/
219,银河系漫游指南,一场穿越银河的冒险,[英] 道格拉斯·亚当斯 / 徐百柯 / 四川科学技术出版社 / 2005-6 / 16.00元,8.8,23023人评价,https://book.douban.com/subject/1394364/
220,父权制与资本主义,无简介,[日] 上野千鹤子 / 邹韵 / 浙江大学出版社 / 2020-3 / 58.00元,9.2,19233人评价,https://book.douban.com/subject/34896921/
221,显微镜下的大明,无简介,马伯庸 / 湖南文艺出版社 / 2019-1 / 52.00元,8.7,49198人评价,https://book.douban.com/subject/30414743/
222,论语,仁远乎哉？我欲仁，斯仁至矣,刘胜利 / 中华书局 / 2006-12 / 9.80元,9.1,24861人评价,https://book.douban.com/subject/1964774/
223,现代艺术150年,无简介,[英] 威尔·贡培兹 / 王烁 / 广西师范大学出版社 / 2017-3 / 65.00元,9.1,15399人评价,https://book.douban.com/subject/26854318/
224,最好的我们,耿耿余淮,八月长安 / 湖南文艺出版社 / 2013-8-5 / 55,8.7,73702人评价,https://book.douban.com/subject/24754316/
225,你好，旧时光（上 下）,原作名切题,八月长安 / 新世界出版社 / 2009-12 / 39.80元,8.7,50200人评价,https://book.douban.com/subject/4166819/
226,从零开始的女性主义,无简介,[日本] 上野千鹤子 / 吕灵芝 / 北京联合出版公司 / 2021-9 / 52.00元,8.7,70937人评价,https://book.douban.com/subject/35523099/
227,你一生的故事,特德·姜科幻小说集,[美] 特德·姜 / 李克勤 / 译林出版社 / 2015-5 / 36.00元,8.7,37684人评价,https://book.douban.com/subject/26295448/
228,解忧杂货店,现代人内心流失的东西，这家杂货店能帮你找回,[日] 东野圭吾 / 李盈春 / 南海出版公司 / 2014-5 / 39.50元,8.5,766598人评价,https://book.douban.com/subject/25862578/
229,包法利夫人,无简介,福楼拜 / 李健吾 / 人民文学出版社 / 2003-1-1 / CNY 28.00,9.1,25764人评价,https://book.douban.com/subject/25897678/
230,火星救援,跟火星来一场不是你死就是我活的过家家游戏,[美] 安迪·威尔 / 陈灼 / 译林出版社 / 2015-10 / 38.00,8.9,20969人评价,https://book.douban.com/subject/26586492/
231,会饮篇,无简介,[古希腊] 柏拉图 / 王太庆 / 商务印书馆 / 2013-1 / 12.00元,9.3,12385人评价,https://book.douban.com/subject/21570668/
232,跨越边界的社区（修订版）,无简介,项飙 / 生活·读书·新知三联书店 / 2018-3 / 68.00元,9.4,10399人评价,https://book.douban.com/subject/30116399/
233,挽救计划,无简介,[美] 安迪·威尔 / 耿辉 / 译林出版社 / 2021-9 / 68.00,9.1,13331人评价,https://book.douban.com/subject/35494160/
234,二手时间,用最为细小的马赛克拼出了一幅完整的后苏联时代图景,[白俄] S. A. 阿列克谢耶维奇 / 吕宁思 / 中信出版社 / 2016-1 / 55.00元,8.9,26283人评价,https://book.douban.com/subject/26704403/
235,象棋的故事,纳粹法西斯对人心灵的折磨及摧残,[奥] 斯蒂芬·茨威格 / 张玉书 / 上海译文出版社 / 2007-7 / 23.00元,9.1,13442人评价,https://book.douban.com/subject/2158684/
236,枪炮、病菌与钢铁,人类社会的命运,[美] 贾雷德·戴蒙德 / 谢延光 / 上海译文出版社 / 2006-4-1 / 45.00元,8.7,53517人评价,https://book.douban.com/subject/1813841/
237,时间的秩序,无简介,[意] 卡洛·罗韦利 / 杨光 / 湖南科学技术出版社 / 2019-6 / 56.00元,8.9,23076人评价,https://book.douban.com/subject/33424487/
238,金锁记,一个小商人家庭出身的女子曹七巧的心灵变迁历程,张爱玲 / 哈尔滨出版社 / 2005-6 / 13.5元,8.6,64388人评价,https://book.douban.com/subject/3017857/
239,分成两半的子爵,无简介,[意] 伊塔洛·卡尔维诺 / 吴正仪 / 译林出版社 / 2012-4-1 / 20.00元,8.8,30337人评价,https://book.douban.com/subject/10555486/
240,坟,无简介,鲁迅 / 人民文学出版社 / 2006-12 / 16.00元,9.6,12764人评价,https://book.douban.com/subject/1974029/
241,众病之王,癌症传,[美] 悉达多·穆克吉 / 李虎 / 中信出版社 / 2013-2 / 42.00元,9.0,13672人评价,https://book.douban.com/subject/20507206/
242,奥斯维辛,无简介,[英] 劳伦斯·里斯 / 刘爽 / 广西师范大学出版社 / 2016-9 / 79.00元,9.5,10478人评价,https://book.douban.com/subject/26861418/
243,总统是靠不住的,美国政治法律制度的基本原理和操作细节,林达 / 生活·读书·新知三联书店 / 2004-08 / 21.80,8.8,21487人评价,https://book.douban.com/subject/1056315/
244,哈姆莱特,生存还是毁灭，这是一个值得思考的问题,[英] 莎士比亚 / 朱生豪 / 人民文学出版社 / 2001-1 / 7.00元,8.7,51654人评价,https://book.douban.com/subject/1006197/
245,规训与惩罚,伴随着惩罚的人性化，自由反而日益丧失了,[法] 米歇尔·福柯 / 刘北成 / 生活·读书·新知三联书店 / 2003-1 / 21.80元,9.3,11456人评价,https://book.douban.com/subject/1012307/
246,顾城的诗,火焰是我们诗歌唯一的读者,顾城 / 人民文学出版社 / 1998-12 / 20.00,8.8,27035人评价,https://book.douban.com/subject/1033825/
247,认识电影,电影入门经典之作,[美] 路易斯·贾内梯 / 焦雄屏 / 世界图书出版公司 / 2007-11 / 68.00元,8.9,18832人评价,https://book.douban.com/subject/2326403/
248,上学记,20世纪中国知识分子的心灵史,何兆武 口述 / 生活·读书·新知三联书店 / 2006-8 / 19.80元,8.9,14284人评价,https://book.douban.com/subject/1859140/
249,亲爱的安德烈,弭平代沟，跨越文化阻隔,龙应台 / 人民文学出版社 / 2008-12 / 26.00,8.6,122107人评价,https://book.douban.com/subject/3369793/
250,打开一颗心,无简介,[英] 斯蒂芬·韦斯塔比 / 高天羽 / 广西师范大学出版社 / 2022-4 / 56,9.1,13073人评价,https://book.douban.com/subject/30277179/
