豆瓣外国文学（小说类）,奥斯维辛：寂静的城市,[意]普里莫·莱维 [意]法比奥·莱维 编 [意]多梅尼科·斯卡帕 编 / 99读书人 / 人民文学出版社,8.5,609,https://book.douban.com/subject/36432508/
豆瓣外国文学（小说类）,大地上我们转瞬即逝的绚烂,王鸥行 / 未读·文艺家 未读 / 北京联合出版公司,8.2,2171,https://book.douban.com/subject/36161290/
豆瓣外国文学（非小说类）,同意,[法] 瓦内莎·斯普林格拉 / 新经典文化 / 文汇出版社,8.7,12568,https://book.douban.com/subject/35947066/
豆瓣外国文学（非小说类）,东京八平米,[日]吉井忍 / 理想国 / 上海三联书店,8.4,26673,https://book.douban.com/subject/36096287/
豆瓣外国文学（非小说类）,我是谁？,[美]段义孚 / 也人 / 上海书店出版社,8.8,2259,https://book.douban.com/subject/36402010/
豆瓣外国文学（非小说类）,复调,[美] 菲利普·肯尼科特 / 未读·文艺家 未读 / 北京联合出版公司,8.8,984,https://book.douban.com/subject/36145778/
豆瓣外国文学（非小说类）,终了之前,[阿根廷]埃内斯托·萨瓦托 / 四川文艺出版社,8.9,694,https://book.douban.com/subject/36118408/
豆瓣外国文学（非小说类）,写作是一把刀,[法]安妮·埃尔诺 / 上海人民出版社,8.7,1146,https://book.douban.com/subject/36402321/
豆瓣外国文学（非小说类）,黑塞书信集,[德]赫尔曼·黑塞 / 世纪文景 / 上海人民出版社,9.1,600,https://book.douban.com/subject/36282861/
豆瓣外国文学（非小说类）,生活的代价,[英]德博拉·利维 / 浦睿文化 / 湖南文艺出版社,8.6,1779,https://book.douban.com/subject/36402128/
豆瓣外国文学（非小说类）,妈妈走后,[美]米歇尔·佐纳 / 光尘 / 北京联合出版公司,8.1,1800,https://book.douban.com/subject/36136693/
豆瓣外国文学（非小说类）,我以文字为业,[美] 厄休拉·勒古恩 / 理想国 / 河南文艺出版社,8.6,779,https://book.douban.com/subject/36215567/
豆瓣诗歌图书,赶时间的人,王计兵 / 真故图书 / 台海出版社,8.4,6803,https://book.douban.com/subject/36248699/
豆瓣诗歌图书,一个拣鲨鱼牙齿的男人,胡续冬 / 雅众文化 / 北京联合出版公司,8.7,474,https://book.douban.com/subject/36513068/
豆瓣诗歌图书,夏宇诗集六种加一,夏宇 / 新行思 / 上海文艺出版社,8.5,654,https://book.douban.com/subject/36221433/
豆瓣诗歌图书,失乐园暗影,[意]朱塞培·翁加雷蒂 / 雅众文化 / 北京联合出版公司,8.2,502,https://book.douban.com/subject/36171998/
豆瓣诗歌图书,谁是我，谁是你,[德]汉斯-格奥尔格·伽达默尔 [德]保罗·策兰 / 纸上造物 / 上海文艺出版社,8.7,438,https://book.douban.com/subject/36084894/
豆瓣诗歌图书,山中,张定浩 / 艺文志eons 纸上造物 / 上海文艺出版社,8.3,654,https://book.douban.com/subject/36404319/
豆瓣诗歌图书,再度唤醒世界：赖特诗选,[美] 詹姆斯·赖特 / 雅众文化 / 北京联合出版公司,8.7,346,https://book.douban.com/subject/36538053/
豆瓣诗歌图书,拒绝所有的岸,[哥伦比亚]阿尔瓦罗·穆蒂斯 / 大方 / 中信出版社,8.0,377,https://book.douban.com/subject/36501243/
豆瓣诗歌图书,让我们相信这寒冷季节的黎明,[伊朗] 芙洛格·法罗赫扎德 / 明室Lucida / 北京联合出版公司,8.2,443,https://book.douban.com/subject/36443627/
豆瓣诗歌图书,反诗歌：帕拉诗集,[智]尼卡诺尔·帕拉 / 磨铁读诗会 / 江苏凤凰文艺出版社,8.3,205,https://book.douban.com/subject/36207154/
